时段	风电标幺值	光伏标幺值
0:00-1:00	0.2726	0.0
1:00-2:00	0.3788	0.0
2:00-3:00	0.3328	0.0
3:00-4:00	0.3768	0.0
4:00-5:00	0.4681	0.0
5:00-6:00	0.2407	0.02
6:00-7:00	0.5701	0.12
7:00-8:00	0.4463	0.28
8:00-9:00	0.3582	0.45
9:00-10:00	0.2976	0.58
10:00-11:00	0.1934	0.67
11:00-12:00	0.2139	0.7
12:00-13:00	0.363	0.72
13:00-14:00	0.1677	0.67
14:00-15:00	0.2794	0.58
15:00-16:00	0.2527	0.45
16:00-17:00	0.1596	0.28
17:00-18:00	0.1607	0.08
18:00-19:00	0.1434	0.0
19:00-20:00	0.0938	0.0
20:00-21:00	0.0923	0.0
21:00-22:00	0.122	0.0
22:00-23:00	0.0625	0.0
23:00-24:00	0.0798	0.0
