时段	光伏场景1	光伏场景2	光伏场景3	光伏场景4
0:00-1:00	0.0	0.0	0.0	0.0
1:00-2:00	0.0	0.0	0.0	0.0
2:00-3:00	0.0	0.0	0.0	0.0
3:00-4:00	0.0	0.0	0.0	0.0
4:00-5:00	0.0	0.0	0.0	0.0
5:00-6:00	0.0	0.0	0.0	0.0
6:00-7:00	0.22	0.0	0.0	0.0
7:00-8:00	0.4	0.05	0.02	0.0
8:00-9:00	0.58	0.17	0.05	0.0
9:00-10:00	0.72	0.28	0.08	0.0
10:00-11:00	0.82	0.39	0.12	0.0
11:00-12:00	0.86	0.49	0.18	0.02
12:00-13:00	0.88	0.56	0.22	0.08
13:00-14:00	0.88	0.58	0.22	0.12
14:00-15:00	0.82	0.5	0.18	0.08
15:00-16:00	0.7	0.4	0.11	0.02
16:00-17:00	0.52	0.3	0.08	0.0
17:00-18:00	0.38	0.15	0.05	0.0
18:00-19:00	0.18	0.05	0.02	0.0
19:00-20:00	0.0	0.0	0.0	0.0
20:00-21:00	0.0	0.0	0.0	0.0
21:00-22:00	0.0	0.0	0.0	0.0
22:00-23:00	0.0	0.0	0.0	0.0
23:00-24:00	0.0	0.0	0.0	0.0
