场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,开机小时数,开机小时
W1P1,72,6480.311527625571,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W1P1,63,5722.600664905414,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W1P1,54,5138.049053500761,235.0722,189.1162,0.5034782426053214,0.7089682068043381,0.24826087869733934,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W1P1,45,4777.105997534246,233.2102,311.75419999999997,0.18149400601761187,0.6586601680278679,0.40925299699119416,部分满足,15,"0,1,2,3,4,5,6,7,8,10,11,12,13,14,23"
W1P1,36,4247.561663584474,233.2102,436.2542,-0.14537888374877259,0.5825991552119126,0.5726894418743864,部分满足,12,"0,1,2,3,4,5,6,7,8,12,14,23"
W1P2,72,7852.898706792238,560.9662000000001,7.450200000000002,0.9703889476236273,0.4691439548792491,0.014805526188186108,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W1P2,63,7235.2107744292225,448.9924,19.9764,0.9206031748555259,0.5183621891828109,0.03969841257223711,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W1P2,54,6840.200847945206,342.7184,38.2024,0.8481633691306109,0.5756965284999753,0.07591831543469447,全满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W1P2,45,6564.799797534247,298.3182,118.3022,0.5298042145928887,0.5633643628699394,0.2350978927035556,部分满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23"
W1P2,36,6219.06608025114,262.5022,206.98620000000003,0.1773268892934078,0.5301721792668957,0.4113365553532961,部分满足,12,"0,1,2,3,4,5,6,11,12,13,15,23"
W1P3,72,9213.610013736681,719.2760000000001,0.0,0.9999999999999993,0.31933151639033996,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W1P3,63,8777.372268080017,605.3822,10.6062,0.9371380140112139,0.3506015747355774,0.03143099299439315,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W1P3,54,8469.379796093353,526.3,56.024,0.6679508303600008,0.34841281632248794,0.1660245848199998,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W1P3,45,8179.645088645358,426.558,80.78200000000001,0.5212124085774233,0.3756652322824272,0.23939379571128847,部分满足,15,"0,1,2,3,4,5,6,7,8,9,13,15,16,17,23"
W1P3,36,7902.034827473363,345.8904,124.61439999999999,0.2614217470158013,0.3809235395189003,0.36928912649209944,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W1P4,72,9762.120235958904,783.9159999999999,0.0,0.9999999999999996,0.2581611022787494,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W1P4,63,9395.61633157208,668.7422,9.3262,0.9316271022419027,0.28263478578018064,0.034186448879048696,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W1P4,54,8999.48231461187,565.34,30.424,0.7769534171053211,0.3000792353785965,0.1115232914473395,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W1P4,45,8718.52633086758,472.82820000000004,62.4122,0.5424392604214016,0.3079415122508123,0.2287803697892993,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23"
W1P4,36,8463.028605251144,361.2504,75.33439999999999,0.44770311285758285,0.35343213058419237,0.2761484435712086,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W2P1,72,6886.163194292238,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W2P1,63,6166.055141095891,380.75019999999995,107.43419999999998,0.6739002950353923,0.5915661539121667,0.16304985248230391,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W2P1,54,5635.888959056316,284.6024,135.7864,0.5878416279154475,0.647647204476799,0.20607918604227624,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W2P1,45,5275.1454842009125,263.2564,238.94039999999998,0.2747338003715261,0.61468282544422,0.36263309981423697,部分满足,15,"0,1,2,3,4,5,6,9,10,11,12,13,14,15,23"
W2P1,36,4870.111021917807,263.2564,363.44039999999995,-0.1031664703811176,0.5288223081328752,0.5515832351905589,部分满足,12,"0,1,2,3,4,5,6,10,11,13,15,23"
W2P2,72,8415.988069292238,656.376,0.0,0.9999999999999994,0.37885532591414955,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
