场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,开机小时数,开机小时
W1P1,36,4278.003063888888,233.2102,436.2542,-0.14537888374877259,0.5825991552119126,0.5726894418743864,部分满足,12,"0,1,2,3,4,5,6,7,8,12,14,23"
W1P2,36,6249.507480555554,262.5022,206.98620000000003,0.1773268892934078,0.5301721792668957,0.4113365553532961,部分满足,12,"0,1,2,3,4,5,6,11,12,13,15,23"
W1P3,36,7932.476227777777,345.8904,124.61439999999999,0.2614217470158013,0.3809235395189003,0.36928912649209944,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W1P4,36,8493.470005555557,361.2504,75.33439999999999,0.44770311285758285,0.35343213058419237,0.2761484435712086,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W2P1,36,4900.552422222221,263.2564,363.44039999999995,-0.1031664703811176,0.5288223081328752,0.5515832351905589,部分满足,12,"0,1,2,3,4,5,6,10,11,13,15,23"
W2P2,36,6926.657480555556,298.45219999999995,140.0762,0.3002208101033113,0.46582867983963355,0.3498895949483444,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W2P3,36,8784.919561111112,411.9984,87.86240000000001,0.25090884288783555,0.26260309278350513,0.3745455785560823,全不满足,12,"0,1,2,3,4,5,6,9,15,16,17,23"
W2P4,36,9347.38086388889,427.5886,38.8126,0.543230711293132,0.23469967067583047,0.22838464435343406,全不满足,12,"0,1,2,3,4,5,6,7,15,16,17,23"
W3P1,36,4166.988108333334,223.3262,445.44620000000003,-0.14094103785666717,0.6002895904925541,0.5704705189283337,部分满足,12,"0,1,2,3,4,5,6,10,12,13,14,23"
W3P2,36,6068.131799999999,245.10039999999998,208.6604,0.20096346787163982,0.5613180126002291,0.39951826606418017,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W3P3,36,7880.683747222223,345.2962,143.0962,0.19726130371367667,0.3819870418098511,0.40136934814316166,部分满足,12,"0,1,2,3,4,5,6,9,15,16,17,23"
W3P4,36,8455.48705,362.8224,95.98240000000001,0.3423160202823078,0.35061855670103087,0.32884198985884616,部分满足,12,"0,1,2,3,4,5,6,7,15,16,17,23"
W4P1,36,3592.6176194444447,188.95420000000001,507.15819999999997,-0.15667537893819755,0.66180877720504,0.5783376894690988,部分满足,12,"0,1,2,3,4,5,6,8,9,14,15,23"
W4P2,36,5431.028286111111,203.0342,262.6782,0.15040914412870093,0.6366083190148912,0.42479542793564956,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W4P3,36,7061.909783333333,272.58639999999997,166.47039999999998,0.2643882952868292,0.5121234249713632,0.36780585235658536,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W4P4,36,7622.903561111109,287.94640000000004,117.1904,0.3958697198709158,0.4846320160366552,0.30206514006454205,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23"
W5P1,36,3933.18438611111,212.7502,473.4502,-0.1555739425447267,0.6192185710194732,0.5777869712723633,部分满足,12,"0,1,2,3,4,5,6,8,10,15,16,23"
W5P2,36,5815.276552777777,233.68220000000002,235.8222,0.15906928645294727,0.5817543671248566,0.4204653567735265,部分满足,12,"0,1,2,3,4,5,6,9,11,12,13,23"
W5P3,36,7557.234775,320.6582,157.03820000000002,0.20507112123513002,0.4260842640320734,0.39746443938243486,部分满足,12,"0,1,2,3,4,5,6,8,9,15,16,23"
W5P4,36,8133.949302777777,338.4842,110.2242,0.33290443624039207,0.3941791953035509,0.333547781879804,部分满足,12,"0,1,2,3,4,5,6,8,9,16,21,23"
W6P1,36,4559.396497222221,243.1862,400.2262,-0.11832513691740243,0.5647440578465063,0.5591625684587013,部分满足,12,"0,1,2,3,4,5,6,9,11,13,14,23"
W6P2,36,6623.628388888889,283.01,181.49,0.2060804899387577,0.4934672107674685,0.39695975503062114,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
W6P3,36,8425.72238611111,389.0982,121.81819999999999,0.16402552841065063,0.3035899914089347,0.41798723579467467,部分满足,12,"0,1,2,3,4,5,6,7,8,15,17,23"
W6P4,36,8943.966688888888,397.75239999999997,65.8324,0.419467372134039,0.28810065864833906,0.29026631393298064,全不满足,12,"0,1,2,3,4,5,6,7,8,21,22,23"
