产量/t,场景,异常指标,吨氨成本,购电,上网,自发自用,绿电比例,上网比例,判定
45,W4P1,上网/MWh偏高,4228.797641978691,188.95420000000001,382.65819999999997,0.12727169059120294,0.7234357893504288,0.43636415470439854,部分满足
45,W5P1,上网/MWh偏高,4501.251055312024,212.7502,348.9502,0.14829952893510046,0.688606598167501,0.4258502355324497,部分满足
54,W1P1,上网/MWh偏高,5138.049053500761,235.0722,189.1162,0.5034782426053214,0.7089682068043381,0.24826087869733934,部分满足
54,W3P1,上网/MWh偏高,5083.793933130391,229.8364,202.9564,0.48015880333999267,0.7154504036052096,0.25992059833000364,部分满足
54,W4P1,上网/MWh偏高,4673.211923871132,188.95420000000001,258.15819999999997,0.4112187601206033,0.7660647253998911,0.2943906199396983,部分满足
54,W5P1,上网/MWh偏高,4941.235784982243,222.3924,234.0924,0.4286387932928166,0.7246664685782204,0.2856806033535915,部分满足
54,W6P1,上网/MWh偏高,5378.269025722984,257.4304,165.47039999999998,0.5376371968257514,0.6812875749021939,0.23118140158712416,部分满足
63,W1P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,5722.600664905414,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足
63,W3P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,5639.317990302239,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足
63,W4P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,5254.921253794303,246.832,191.536,0.5631639685993314,0.7352212996932054,0.21841801570033437,部分满足
63,W5P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,5522.429291889541,305.3064,192.50639999999999,0.5301398550194041,0.6724953337195083,0.234930072490298,部分满足
63,W6P1,上网/MWh偏高,5893.808926810176,339.4604,123.0004,0.6563082597518722,0.6358580592563987,0.17184587012406394,全满足
72,W1P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,6480.311527625571,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
72,W2P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,6886.163194292238,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足
72,W3P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,6332.56210401446,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足
72,W4P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,5986.190763736682,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足
72,W5P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,6228.421409570015,395.9442,158.64419999999998,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足
72,W6P1,上网/MWh偏高；自发自用占比偏低；上网比例偏高,6563.3307567922375,431.7862,90.8262,0.7462104616072424,0.5913901506548567,0.12689476919637868,全满足
