场景,产量/t,吨氨成本/元_离散,购电/MWh_离散,上网/MWh_离散,自发自用占比_离散,绿电比例_离散,上网比例_离散,判定_离散,开机小时数,开机小时,吨氨成本/元_连续,购电/MWh_连续,上网/MWh_连续,自发自用占比_连续,绿电比例_连续,上网比例_连续,判定_连续,平均负荷率,最小负荷率,最大负荷率,吨氨成本差_离散减连续
W1P1,72,6495.532227777778,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",6495.532227777778,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足,1.0,1.0,1.0,0.0
W1P1,63,5739.9957507936515,326.62620000000004,156.1702,0.5899774733381993,0.6496254103108706,0.20501126333090042,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",5672.749926984127,305.78,135.324,0.6447088599618781,0.671987299135397,0.17764557001906106,全满足,0.875,0.1,1.0,67.24582380952415
W1P1,54,5158.343320370371,235.0722,189.1162,0.5034782426053214,0.7089682068043381,0.24826087869733934,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23",5184.778820370369,238.9202,192.96420000000006,0.4933753761007346,0.7042041796662206,0.25331231194963283,部分满足,0.75,0.1,1.0,-26.435499999998683
W1P1,45,4801.4591177777775,233.2102,311.75419999999997,0.18149400601761187,0.6586601680278679,0.40925299699119416,部分满足,15,"0,1,2,3,4,5,6,7,8,10,12,13,14,15,23",4842.677917777778,238.9202,317.4642,0.1665024863343503,0.6503026843476477,0.4167487568328249,部分满足,0.625,0.1,1.0,-41.218800000000556
W1P1,36,4278.003063888888,233.2102,436.2542,-0.14537888374877259,0.5825991552119126,0.5726894418743864,部分满足,12,"0,1,2,3,4,5,6,7,8,12,14,23",4329.526563888889,238.9202,441.9642,-0.1603704034320341,0.5723793671248566,0.5801852017160172,部分满足,0.5,0.1,1.0,-51.52350000000024
W1P2,72,7868.119406944445,560.9662000000001,7.450200000000002,0.9703889476236273,0.4691439548792491,0.014805526188186108,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",7868.119406944445,560.9662000000001,7.450200000000002,0.9703889476236273,0.4691439548792491,0.014805526188186108,全满足,1.0,1.0,1.0,0.0
W1P2,63,7252.60586031746,448.9924,19.9764,0.9206031748555259,0.5183621891828109,0.03969841257223711,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",7168.203131746032,436.4662,7.450200000000002,0.9703889476236278,0.5317991461243055,0.014805526188186108,全满足,0.875,0.1,1.0,84.40272857142736
W1P2,54,6860.495114814816,342.7184,38.2024,0.8481633691306109,0.5756965284999753,0.07591831543469447,全满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23",6662.488087037037,312.01739999999995,7.501400000000004,0.9701854516259807,0.6137059872232953,0.014907274187009649,全满足,0.75,0.1,1.0,198.0070277777786
W1P2,45,6589.152917777778,298.3182,118.3022,0.5298042145928887,0.5633643628699394,0.2350978927035556,部分满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23",6313.406451111111,253.0002,72.98420000000002,0.7099220196977766,0.6296943883375778,0.1450389901511117,全满足,0.625,0.1,1.0,275.7464666666674
W1P2,36,6249.507480555554,262.5022,206.98620000000003,0.1773268892934078,0.5301721792668957,0.4113365553532961,部分满足,12,"0,1,2,3,4,5,6,11,12,13,15,23",6167.937230555555,253.0002,197.48420000000002,0.21509288479423852,0.5471789089347078,0.39245355760288075,部分满足,0.5,0.1,1.0,81.57024999999885
W1P3,72,9228.830713888889,719.2760000000001,0.0,0.9999999999999993,0.31933151639033996,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9228.830713888889,719.2760000000001,0.0,0.9999999999999993,0.31933151639033996,0.0,全满足,1.0,1.0,1.0,0.0
W1P3,63,8794.767353968255,605.3822,10.6062,0.9371380140112139,0.3506015747355774,0.03143099299439315,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",8723.301768253968,594.7760000000001,0.0,1.0,0.36197893201175685,0.0,全满足,0.875,0.11,1.0,71.46558571428614
W1P3,54,8489.674062962962,526.3,56.024,0.6679508303600008,0.34841281632248794,0.1660245848199998,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23",8127.974924074074,470.75699999999995,0.4809999999999972,0.9971491566007993,0.4171779824691724,0.0014254216996005182,全满足,0.75,0.1,1.0,361.6991388888882
W1P3,45,8203.99820888889,426.558,80.78200000000001,0.5212124085774233,0.3756652322824272,0.23939379571128847,部分满足,15,"0,1,2,3,4,5,6,7,8,9,13,15,16,17,23",7739.5632422222225,346.25699999999995,0.4809999999999972,0.9971491566007993,0.4931983841222446,0.0014254216996005182,全满足,0.625,0.1,1.0,464.4349666666676
W1P3,36,7932.476227777777,345.8904,124.61439999999999,0.2614217470158013,0.3809235395189003,0.36928912649209944,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23",7355.423452777778,253.0002,31.724200000000003,0.8119735422766446,0.5471789089347078,0.09401322886167782,全满足,0.5,0.1,1.0,577.0527749999992
W1P4,72,9777.340936111112,783.9159999999999,0.0,0.9999999999999996,0.2581611022787494,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9777.340936111112,783.9159999999999,0.0,0.9999999999999996,0.2581611022787494,0.0,部分满足,1.0,1.0,1.0,0.0
W1P4,63,9413.011417460317,668.7422,9.3262,0.9316271022419027,0.28263478578018064,0.034186448879048696,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",9350.170593650793,659.4159999999999,0.0,1.0000000000000004,0.2926390766128167,0.0,部分满足,0.875,0.1,1.0,62.8408238095235
W1P4,54,9019.776581481481,565.34,30.424,0.7769534171053211,0.3000792353785965,0.1115232914473395,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23",8780.610137037038,534.9159999999999,0.0,1.0000000000000004,0.3377457534789283,0.0,全满足,0.75,0.1,1.0,239.1664444444432
W1P4,45,8742.879451111112,472.82820000000004,62.4122,0.5424392604214016,0.3079415122508123,0.2287803697892993,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23",8439.924471111111,410.59839999999997,0.18240000000000123,0.9986627762056277,0.3990246187172506,0.0006686118971862628,全满足,0.625,0.1,1.0,302.95498000000043
W1P4,36,8493.470005555557,361.2504,75.33439999999999,0.44770311285758285,0.35343213058419237,0.2761484435712086,部分满足,12,"0,1,2,3,4,5,6,7,8,9,15,23",8032.397255555556,286.09839999999997,0.18240000000000123,0.9986627762056277,0.48793957617411216,0.0006686118971862628,全满足,0.5,0.1,1.0,461.0727500000012
W2P1,72,6901.383894444445,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",6901.383894444445,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足,1.0,1.0,1.0,0.0
W2P1,63,6183.450226984127,380.75019999999995,107.43419999999998,0.6739002950353923,0.5915661539121667,0.16304985248230391,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",6136.580403174603,362.928,89.61199999999998,0.7279967946772217,0.6106841732638219,0.1360016026613892,全满足,0.875,0.1,1.0,46.86982380952395
W2P1,54,5656.183225925925,284.6024,135.7864,0.5878416279154475,0.647647204476799,0.20607918604227624,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23",5642.675820370369,276.6322,127.81620000000001,0.6120339229994052,0.6575147328282078,0.19398303850029747,全满足,0.75,0.1,1.0,13.507405555556034
W2P1,45,5299.498604444444,263.2564,238.94039999999998,0.2747338003715261,0.61468282544422,0.36263309981423697,部分满足,15,"0,1,2,3,4,5,6,9,10,11,12,13,14,15,23",5392.154317777778,276.6322,252.31620000000004,0.23413365224676125,0.5951052369661309,0.3829331738766194,部分满足,0.625,0.1,1.0,-92.65571333333355
W2P1,36,4900.552422222221,263.2564,363.44039999999995,-0.1031664703811176,0.5288223081328752,0.5515832351905589,部分满足,12,"0,1,2,3,4,5,6,10,11,13,15,23",5016.372063888888,276.6322,376.8162,-0.14376661850588243,0.5048822308132875,0.5718833092529412,部分满足,0.5,0.1,1.0,-115.81964166666694
W2P2,72,8431.208769444444,656.376,0.0,0.9999999999999994,0.37885532591414955,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",8431.208769444444,656.376,0.0,0.9999999999999994,0.37885532591414955,0.0,全满足,1.0,1.0,1.0,0.0
W2P2,63,7875.760560317462,541.3782,9.5022,0.952529824351058,0.419259187745382,0.023735087824470952,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",7811.733831746032,531.876,0.0,1.0,0.4294522752140053,0.0,全满足,0.875,0.1,1.0,64.02672857142989
