场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,平均负荷率,最小负荷率,最大负荷率
W1P1,36,4299.085163584475,238.9202,441.9642,-0.1603704034320341,0.5723793671248566,0.5801852017160172,部分满足,0.5,0.1,1.0
W1P2,36,6137.495830251141,253.0002,197.48420000000002,0.21509288479423852,0.5471789089347078,0.39245355760288075,部分满足,0.5,0.1,1.0
W1P3,36,7324.982052473364,253.0002,31.724200000000003,0.8119735422766446,0.5471789089347078,0.09401322886167782,全满足,0.5,0.1,1.0
W1P4,36,8001.955855251141,286.09839999999997,0.18240000000000123,0.9986627762056277,0.48793957617411216,0.0006686118971862628,全满足,0.5,0.1,1.0
W2P1,36,4985.930663584474,276.6322,376.8162,-0.14376661850588243,0.5048822308132875,0.5718833092529412,部分满足,0.5,0.1,1.0
W2P2,36,6824.341330251141,290.71220000000005,132.33620000000002,0.33888755670123677,0.47968177262313866,0.33055622164938153,部分满足,0.5,0.1,1.0
W2P3,36,8228.227527473362,324.434,0.29799999999999827,0.9974593322647751,0.41932631729667813,0.001270333867612447,全满足,0.5,0.1,1.0
W2P4,36,9134.77449691781,388.93420000000003,0.158199999999999,0.9981382102339593,0.30388351947308134,0.0009308948830202831,全满足,0.5,0.1,1.0
W3P1,36,4136.54670802892,223.3262,445.4462,-0.1409410378566671,0.6002895904925543,0.5704705189283337,部分满足,0.5,0.1,1.0
W3P2,36,5974.957374695586,237.4062,200.96620000000001,0.23042735697327105,0.5750891323024054,0.3847863215133645,部分满足,0.5,0.1,1.0
W3P3,36,7162.4435969178085,237.4062,35.206199999999995,0.8025008414675194,0.5750891323024055,0.0987495792662403,全满足,0.5,0.1,1.0
W3P4,36,7816.03358302892,267.2012,0.3612000000000002,0.9975250102781967,0.5217618843069873,0.0012374948609017412,全满足,0.5,0.11,1.0
W4P1,36,3565.7729941400303,189.51839999999999,507.7224,-0.15796214951352677,0.6607989690721648,0.5789810747567634,部分满足,0.5,0.1,1.0
W4P2,36,5404.183660806697,203.5984,263.2424,0.14858432897128565,0.6355985108820161,0.4257078355143572,部分满足,0.5,0.1,1.0
W4P3,36,6591.66988302892,203.5984,97.48240000000003,0.5692375674982987,0.635598510882016,0.21538121625085066,部分满足,0.5,0.1,1.0
W4P4,36,7054.743660806697,203.5984,32.842400000000005,0.8306935695064492,0.635598510882016,0.08465321524677549,全满足,0.5,0.1,1.0
W5P1,36,3902.742985806696,212.7502,473.4502,-0.1555739425447267,0.6192185710194732,0.5777869712723633,部分满足,0.5,0.1,1.0
W5P2,36,5741.153652473363,226.83020000000002,228.97020000000003,0.1835031915272974,0.5940181128293239,0.40824840423635145,部分满足,0.5,0.1,1.0
W5P3,36,6928.639874695586,226.83020000000002,63.210199999999986,0.6800293596557835,0.5940181128293242,0.1599853201721083,全满足,0.5,0.1,1.0
W5P4,36,7406.4599608066965,228.796,0.5360000000000049,0.996756037039279,0.5904997136311567,0.0016219814803607245,全满足,0.5,0.12,1.0
W6P1,36,4528.955096917807,243.1862,400.2262,-0.11832513691740243,0.5647440578465063,0.5591625684587013,部分满足,0.5,0.1,1.0
W6P2,36,6367.365763584474,257.2662,155.74620000000004,0.3186955380577424,0.5395435996563575,0.3406522309711287,部分满足,0.5000000000000001,0.1,1.0
W6P3,36,7621.241069140029,267.5342,0.2541999999999991,0.9982555586055449,0.5211658791523481,0.0008722206972275566,全满足,0.5,0.12,1.0
W6P4,36,8511.911121917808,332.02239999999995,0.10239999999999938,0.9990970017636688,0.4057445589919817,0.00045149911816578207,全满足,0.5,0.1,1.0
