场景,小时,裕度/MW,供给/MW,需求/MW
W2P1,21,0.0,43.1302,43.1302
W2P2,21,0.0,43.1302,43.1302
W2P3,21,0.0,43.1302,43.1302
W2P4,21,0.0,43.1302,43.1302
W1P1,23,49.29298927613941,92.2731892761394,42.980199999999996
W1P2,23,49.29298927613941,92.2731892761394,42.980199999999996
W1P3,23,49.29298927613941,92.2731892761394,42.980199999999996
W1P4,23,49.29298927613941,92.2731892761394,42.980199999999996
W4P4,21,107.65205415549596,150.78225415549596,43.1302
W4P3,21,107.65205415549596,150.78225415549596,43.1302
W4P2,21,107.65205415549596,150.78225415549596,43.1302
W4P1,21,107.65205415549596,150.78225415549596,43.1302
W6P4,15,111.13601554959789,156.45621554959789,45.3202
W6P3,15,116.89601554959788,162.21621554959788,45.3202
W6P2,15,135.45601554959788,180.77621554959788,45.3202
W5P1,22,136.28300321715815,179.34300321715816,43.06
W5P2,22,136.28300321715815,179.34300321715816,43.06
W5P3,22,136.28300321715815,179.34300321715816,43.06
W5P4,22,136.28300321715815,179.34300321715816,43.06
W3P3,21,137.60036997319034,180.73056997319034,43.1302
W3P2,21,137.60036997319034,180.73056997319034,43.1302
W3P1,21,137.60036997319034,180.73056997319034,43.1302
W3P4,21,137.60036997319034,180.73056997319034,43.1302
W6P1,20,154.1370016085791,197.4970016085791,43.36
